Date,Open,High,Low,Close,Adj Close,Volume,Day
2017-05-02,139.979996,140.339996,138.690002,139.149994,128.42923,17993900,908
2017-05-03,138.490005,138.759995,137.690002,138.289993,127.635452,27050300,909
2017-05-04,138.529999,138.729996,137.110001,138.100006,127.460129,25799100,910
2017-05-05,138.690002,138.990005,137.529999,138.990005,128.281555,23806500,911
2017-05-08,138.660004,138.979996,137.759995,138.410004,127.746239,16680000,912
2017-05-09,138.589996,138.830002,137.779999,138.350006,127.69088,23988400,913
2017-05-10,138.039993,139.479996,137.860001,139.210007,128.484619,19791500,914
2017-05-11,138.669998,138.830002,136.979996,138.240005,127.589348,28617300,915
2017-05-12,137.710007,137.889999,137.160004,137.509995,126.91555,24111200,916
2017-05-15,137.979996,139.25,137.979996,138.580002,127.903114,31132200,917
2017-05-16,138.970001,139.039993,137.619995,138.630005,127.949295,18520900,918
2017-05-17,136.330002,137.039993,134.75,134.889999,124.497429,50791200,919
2017-05-18,134.570007,135.899994,134.229996,135.380005,124.949638,44805100,920
2017-05-19,135.639999,136.759995,135.419998,136.029999,125.549561,44450500,921
2017-05-22,136.259995,137.199997,136.160004,136.949997,126.398735,20062700,922
2017-05-23,137.289993,137.690002,136.350006,137.399994,126.814011,16681400,923
2017-05-24,137.509995,138.029999,136.830002,137.490005,126.897125,21256000,924
2017-05-25,138.139999,138.610001,137.199997,137.580002,126.980194,22804200,925
2017-05-26,137.380005,137.789993,136.779999,137.539993,126.94323,20047300,926
2017-05-30,137.119995,137.440002,136.220001,136.460007,125.946487,25544100,927
2017-05-31,136.839996,136.919998,134.639999,136.320007,125.817276,34345400,928
